first_party,second_party,facts,first_party_winner
Furman,Georgia,"Furman was burglarizing a private home when a family member discovered him He attempted to flee and in doing so tripped and fell The gun that he was carrying went off and killed a resident of the home He was convicted of murder and sentenced to death Two other death penalty cases were decided along with Furman Jackson v Georgia and Branch v Texas These cases concern the constitutionality of the death sentence for rape and murder convictions respectively
",True
Moose Lodge No. 107,Irvis,"K Leroy Irvis a black man who was a guest of a white member of the Moose Lodge No 107 was refused service at the clubs dining room because of his race The bylaws of the Lodge limited membership to white male Caucasians Irvis challenged the clubs refusal to serve him arguing that the action of the Pennsylvania liquor board issuing the Lodge a license made the clubs discrimination state action
",True
Branzburg,Hayes,"After observing and interviewing a number of people synthesizing and using drugs in a twocounty area in Kentucky Branzburg a reporter wrote a story which appeared in a Louisville newspaper On two occasions he was called to testify before state grand juries which were investigating drug crimes Branzburg refused to testify and potentially disclose the identities of his confidential sources Similarly in the companion cases of In re Pappas and United States v Caldwell two different reporters each covering activity within the Black Panther organization were called to testify before grand juries and reveal trusted information Like Branzburg both Pappas and Caldwell refused to appear before their respective grand juries
",False
Thomas Kirby,Illinois,"William Shard reported to the Chicago police that two men stole his wallet  The wallet contained travelers checks and his social security card among other things  The next day two police officers stopped Thomas Kirby and his friend Ralph Bean  When asked for identification Kirby produced Shards wallet  The officers arrested Kirby and Bean and brought them to the Maxwell Street Police Station  Once there the officers learned about Shards robbery and sent a car to pick up Shard and bring him to the station  Without an attorney present police asked Shard if Kirby and Bean were his robbers  Shard instantly gave a positive identification   Kirby and Bean were not indicted until almost 6 weeks later  At trial Kirby unsuccessfully attempted to suppress Shards identification  The jury found Kirby guilty and the Appellate Court of Illinois First District affirmed
",False
Wisconsin,Yoder,"Jonas Yoder and Wallace Miller both members of the Old Order Amish religion and Adin Yutzy a member of the Conservative Amish Mennonite Church were prosecuted under a Wisconsin law that required all children to attend public schools until age 16 The three parents refused to send their children to such schools after the eighth grade arguing that high school attendance was contrary to their religious beliefs
",False
Board of Regents of State Colleges,David Roth,"David Roth was hired under a oneyear contract to teach political science at Wisconsin State UniversityOshkosh He was informed that he would not be rehired at the end of his contract No reasons were given for this decision Roth brought suit against the university claiming that 1 the real reason for his nonretention was his criticism of the university administration violating his right to free speech protected by the Fourteenth Amendment and 2 the universitys failure to advise him of the reason for its decision violated his right to procedural due process Roth won on the second claim It was upheld on appeal
",True
United States,"Mississippi Chemical Corporation, Costal Chemical Corp","Mississippi Chemical Corp and Costal Chemical Corp were cooperate associations within the meaning of the Agricultural Marketing Act  The associations qualified for membership in a bank for Cooperatives which allowed them to borrow money  The Farm Credit Act of 1955 required that the associations buy Class C stocks valued at 100  The associations claimed a 99 interest deduction on their taxes for every stock purchased  When the Internal Revenue Service disallowed the deduction the associations paid the deficiency and then sued for a refund  The district court found for the associations and the US Court of Appeals for the Fifth Circuit affirmed
",True
Rudolph Santobello,State of New York,"In 1969 the State of New York indicted Rudolph Santobello on two felony counts After Santobello pled not guilty to both counts the prosecutor offered him a plea deal In order to receive a lighter sentence Santobello could plead guilty to a lesser offense The prosecutor further agreed not to recommend a sentence to the judge Santobello accepted the deal and entered a plea of guilty to the lesser offense
After several months Santobello still had not been sentenced By the time the court considered his sentencing both Santobellos defense counsel and the original prosecutor had been replaced The new prosecutor unaware of the previous prosecutors plea offer recommended the maximum oneyear sentence for Santobellos crime Despite Santobellos objections the court issued the maximum sentence Santobello appealed but the appellate court affirmed his conviction
",True
Morrissey,Brewer,"On January 4 1967 John J Morrissey entered a guilty plea to an information charging him with false uttering of a check After serving part of his sevenyear sentence the Iowa Board of Parole granted Morrissey parole and he was released from Iowa State Penitentiary on June 20 1968 On January 24 1969 however Morrissey was arrested in Cedar Rapids for violating his parole The Board of Parole entered an order revoking his parole and returning Morrissey to prison Morrissey filed several habeas corpus actions in Iowa state courts between June 1969 and August 1969 but soon exhausted his state remedies On September 12 1969 Morrissey filed a habeas corpus petition in federal district court which was denied the court also denied his notice of appeal considered as an application for certificate of probable cause The United States Court of Appeals Eighth Circuit granted Morrisseys application and appointed counsel to represent Morrissey on appeal
On April 29 1968 G Donald Booher entered a guilty plea to an information charging him with forgery On November 14 1968 the Board of Parole granted his parole releasing Booher from his tenyear sentence at Iowa State Penitentiary On August 28 1969 Booher allegedly violated his parole and the Board of Parole revoked his parole on September 13 Booher filed several petitions for a writ of habeas corpus in state district court between November 1969 and March 1970 the district court dismissed all of Boohers petitions He then filed an application for certificate of probable cause in federal district court on June 16 1970 The district court denied his application but the United States Court of Appeals Eighth Circuit granted it on appeal appointing counsel and consolidating the claims of Morrissey and Booher 
Neither Morrissey nor Booher was granted a hearing or other opportunity to question challenge or become aware of the facts which formed the basis of each mans parole violation Neither man was granted the opportunity to present evidence on his own behalf or to confront or crossexamine those providing testimony against him The Eighth Circuit however affirmed the denials of the petitions of Morrissey and Booher in a 43 en banc ruling
",True
"Evelle J. Younger, et al.","Robert O. Gilmore, Jr., et al.","Several indigent California state prisoners filed complaints attacking the constitutionality of the regulations which forbade California prisons from having more than twelve law books in a prison library  On January 10 1967 the district court consolidated the multiple cases because they contained common questions of law and fact 
The California prisoners moved for the convening of a threejudge district court but their motion was denied On appeal the United States Court of Appeals for the Ninth Circuit reversed the lower courts order denying a threejudge panel On May 28 1970 a threejudge district court granted the plaintiffs relief from the regulation limiting the number of law books in prison libraries The defendants appealed the district courts decision 
",False
Gravel,United States,"In 1971 Senator Mike Gravel received a copy of the Pentagon Papers a set of classified documents concerning US involvement in the Vietnam war Gravel then introduced the study in its entirety into the record of a Senate Subcommittee meeting Gravel also arranged for the private publication of the papers by the Beacon Press A federal grand jury subpoenaed Leonard Rodberg one of Gravels aides to testify about his role in the acquisition and publication of the papers
",True
Frederick E. Adams,Robert Williams,"During the early morning hours of October 30 1966 an individual approached a police officer in a gas station parking lot in Bridgeport Connecticut and informed him that another individual in a nearby vehicle was carrying narcotics and had a gun at his waist The officer approached the vehicle on foot and asked the occupant Robert Williams to open the door When Williams rolled down the window instead the officer reached into the car and removed a gun from Williams waistband though the gun was not visible from outside the vehicle The officer then arrested Williams for unlawful possession of a firearm and proceeded to search his vehicle where he found heroin Williams was convicted in a Connecticut state court of possession of a handgun and heroin
After the Supreme Court of Connecticut affirmed the conviction Williams filed a claim against the prison warden Frederick Adams in which he alleged that the state of Connecticut continued to detain him unlawfully as a prisoner Williams argued that the handgun and drugs were discovered through an unlawful search and should not have been admitted into evidence at his trial The district court denied his petition On appeal the US Court of Appeals for the Second Circuit sided with Williams and ordered that his conviction be set aside
 
",True
Lloyd Corp. Ltd.,Donald Tanner et al.,"Donald Tanner was a Vietnam War protestor who was distributing antiwar handbills inside Lloyd Center Mall in Portland Oregon The handbills were unrelated to the operations of Lloyd Center Lloyd Center was privately owned by Lloyd Corporation which prohibited the distribution of handbills inside the mall While distributing handbills Tanner and other protestors were informed by mall security that they should stop their distribution or be subject to arrest The protestors ended their distribution left the mall and filed suit against Lloyd Corporation in United States District Court for the District of Oregon alleging their First Amendment right to free speech had been violated The District Court ruled in their favor The United States Court of Appeals for the Ninth Circuit
",True
Police Department of the City of Chicago,Mosley,"Chicago adopted an ordinance prohibiting picketing within 150 feet of a school during school hours the law made an exception for peaceful labor picketing Mosley had been picketing near a public high school he was protesting black discrimination Mosley sought a declaration that the ordinance was unconstitutional
",False
Chevron Oil Company,Huson,"Gaines Ted Huson suffered a back injury while working on a fixed oil rig owned by Chevron Oil Company off the coast of Louisiana More than two years after the injury Huson sued Chevron for damages in United States District Court Eastern District of Louisiana New Orleans Division Huson alleged that it took several months for him to realize the severity of his injury The District Court relied on Rodrigue v Aetna Casualty amp Surety Co 395 US 352 1969 holding that Louisianas oneyear statute of limitations applied instead of the admiralty laches doctrine so Husons claim was barred Rodrigue held that state law not admiralty law applied in these situations under the Outer Continental Shelf Lands Act On appeal to the United States Court of Appeals for the Fifth Circuit Huson argued that because he filed this case before the Rodrigue decision applying its ruling would have an unfair retrospective effect The Court of Appeals reversed holding that the Louisiana statute of limitations was inconsistent with the admiralty laches doctrine and therefore was not applicable
",False
Curtis C. Flood,"Bowie K. Kuhn, Commissioner of Baseball, et al.","Curtis C Flood was a professional baseball player for the St Louis Cardinals of the National League Flood was a consistent aboveaverage hitter and a wellregarded outfielder playing one full season without an error in 1966 an unusual achievement Flood played twelve seasons for the Cardinals participating in three World Series and was the cocaptain of the team between 1965 and 1969
Despite this Flood was traded to the Philadelphia Phillies in October 1969 The Cardinals did not consult him before the trade and management only informed him about the trade after it was finalized Flood complained to the Commissioner of Baseball Bowie K Kuhn requesting that the league make him a free agent Kuhn denied his request relying on baseballs reserve clause which maintained a given teams rights to a player even after that players contract expired Flood then filed an antitrust suit against Kuhn the presidents of the two major leagues and the twentyfour major league clubs He declined to play for the Phillies in 1970 despite a 100000 salary offer
Flood alleged violations of the federal antitrust laws civil rights laws state statutes the common law and the imposition of a form of peonage and involuntary servitude in violation of the Thirteenth Amendment and several federal laws The trial court granted the defenses motion for summary judgment relying on Federal Baseball Club v National League and Toolson v New York Yankees which established a longstanding antitrust exemption for professional baseball clubs The United States Court of Appeals Second Circuit affirmed
",False
David Gelbard,United States,"Perry Paul an alleged bookmaker and Jerome Zarowitz a former executive of a Las Vegas casino had their telephones tapped by federal agents The agents recorded conversations between Paul and David Gelbard and between Zarowitz and Sidney Parnas Gelbard and Parnas were called before a federal grand jury convened to investigate possible violations of federal gambling laws When the government pressed Gelbard and Parnas to testify about these conversations however they refused to do so Instead they claimed that the wiretaps were illegal and argued that they should not be required to testify until given an opportunity to challenge the legality of the taps The United States District Court for the Southern District of California found Gelbard and Parnas in contempt of court and committed them to custody until they agreed to testify
On appeal the US Court of Appeals for the Ninth Circuit agreed with the district court stating that a witness in a grand jury proceeding has no right to resort to a court to secure authoritative advance determination concerning evidentiary matters that arise or may arise or to exclude evidence to be used in such a proceeding Gelbard and Parnas then sought certiorari from the Court pointing to a decision by the US Court of Appeals for the Third Circuit vacating contempt charges against a witness under similar circumstances
",True
Francis Haines,"Otto J. Kerner, former Governor of Illinois","Francis Haines was placed in solitary confinement for 15 days because he hit another inmate over the head with a shovel during a confrontation Haines was 66 years old and suffered from a foot disability He claimed his foot disability worsened due to being kept in solitary confinement where he had to sleep on the floor with only blankets for support Haines sued the State of Illinois and argued that the conditions of his solitary confinement violated the Due Process Clause of the Fourteenth Amendment and the Eighth Amendments prohibition against cruel and unusual punishment The State of Illinois moved to dismiss the case on the grounds that Haines failed to state a cause of action The district court granted the dismissal and stated that courts can only intercede with the internal operations of state prisons under exceptional circumstances The district court also found that Haines had failed to show that he had been deprived of his constitutional rights The US Court of Appeals for the Seventh Circuit upheld the dismissal and determined that state penitentiaries were entitled to their own discretion when punishing inmates
",True
Kastigar,United States,"Kastigar cited his Fifth Amendment protection against selfincrimination in refusing to testify before a grand jury even though prosecutors had granted him immunity from the use of his testimony in subsequent criminal proceedings He was found in contempt of court for failing to testify
",False
"D. H. Overmyer Company, Inc., of Ohio",Frick,"In 1966 DH Overmyer Co entered into a contract with Frick Co for the manufacture and installation of a 223000 automatic refrigeration system for a warehouse under construction in Toledo Ohio The agreement established a promissory note with monthly payment obligations Overmyer began to fall behind on the monthly payments Frick filed three mechanics liens against the Toledo warehouse and the two companies negotiated a new payment agreement in February 1967 Overmyer again fell behind on payments and the two companies established a new note which contained a confessionofjudgment provision
In June of 1968 Overmyer stopped making monthly payments under the new note and brought a claim against Frick in the United States District Court for the Southern District of New York for alleged breaches of the original contract The District court concluded that the plaintiff failed to show any likelihood that it would prevail on the merits
Frick came before the Common Pleas Court of Lucas County Ohio and asked the court to enter a judgment against Overmyer for the remaining balance of the note plus interest Overmyer did not receive notice prior to the entry of the judgment because the confessionofjudgment provision waived the issuance and service of process and confessed judgment
After the entry of the adverse judgment Overmyer filed several motions including a motion to vacate the judgment due to a lack of notice After a hearing was held the court denied the motions Overmyer appealed to the Court of Appeals for Lucas County Ohio asserting deprivation of due process in violation of the Ohio and Federal Constitutions The appellate court affirmed the lower courts decision The Supreme Court of Ohio dismissed the subsequent appeal and Overmyer appealed to the Supreme Court
",False
Willie Mae Barker,"John W. Wingo, Warden","On July 20 1958 intruders beat an elderly couple to death in Christian County Kentucky Shortly afterward police arrested Silas Manning and Willie Barker for the crime Both were indicted on September 15 and assigned counsel on September 17 Barkers trial was scheduled to begin on September 21 but the state believed it had a stronger case against Manning and that Mannings testimony would be essential to convict Barker The state obtained a series of continuances on Barkers trial as Manning was tried five times and finally convicted in 1962 Beginning in June 1959 Barker was out of prison on bail and did not contest the continuances Barkers trial was set for March 19 1963 and when the state requested further continuances Barker unsuccessfully objected At his trial beginning on October 9 1963 Barker was convicted
The Kentucky Court of Appeals affirmed the conviction Barker sought habeas corpus relief in district court by arguing that the long trial delay violated his right to a speedy trial which the district court denied The Court of Appeals for the Sixth Circuit affirmed the judgment of the district court 
",False
Dunn,Blumstein,"A Tennessee law required a oneyear residence in the state and a threemonth residence in the county as a precondition for voting James Blumstein a university professor who had recently moved to Tennessee challenged the law by filing suit against Governor Winfield Dunn and other local officials in federal district court
",False
United States,Allen H. Generes and Edna Generes,"In 1954 Allen Generes and his soninlaw William Kelly formed KellyGeneres Construction Co Inc Generes and Kelly each owned 44 of the stock with the remaining 12 owned by Generes son and another soninlaw Generes was the president of the corporation and did not deal with the daytoday running of the business In addition to his position as president he held another fulltime position as the president of a savings and loan association In 1958 Generes and Kelly signed an indemnity agreement for the corporation In 1962 the corporation seriously underbid two contracts and went deeply into debt Generes loaned the corporation money but it went bankrupt and he was unable to receive reimbursement
On his 1962 tax return Generes claimed the money the corporation lost as business bad debt and his direct loans to the corporation as nonbusiness bad debt He filed a claim for a refund on the business bad debt This claim was the subject of a jury trial in which the jury was asked to determine whether Generes signing of the indemnity agreement was proximately related to his trade or business of being an employee of the corporation The government requested a jury instruction to clarify that significant motivation satisfies the requirement but the court refused and instructed the jury that dominant motivation was sufficient The jury found in favor of Generes The US Court of Appeals for the Fifth Circuit affirmed and held that the significant motivation standard was acceptable
 
",True
Sierra Club,"Roger C. B. Morton, Secretary of the Interior of the United States","The Mineral King Valley was an undeveloped part of the Sequoia National Forest that was mostly used for mining until the 1920s In the late 1940s developers began to make bids on the land for recreational developments Walt Disney Enterprises won a bid to start surveying the valley in the hopes of developing an 80acre ski resort The size of the proposed resort would require the construction of a new highway and massive high voltage power lines that would run through the Sequoia National Forest The Sierra Club kept track of this project for years and hoped to stop it to protect the undeveloped land The Sierra Club filed preliminary and permanent injunctions against federal officials to prevent them from granting permits for the development of the Mineral King Valley The district court granted these injunctions The US Court of Appeals for the Ninth Circuit overturned the injunctions on the grounds that the Sierra Club did not show that it would be directly affected by the actions of the defendants and therefore did not have standing to sue under the Administrative Procedure Act Alternatively the appellate court also held that the Sierra Club had not made an adequate showing of irreparable injury or likelihood of their success on the merits of the case
",False
United States,United States District Court for the Eastern District of Michigan,"Investigating three people it suspected of conspiring to destroy government property and bombing a Central Intelligence Agency office officials used electronic surveillance to record suspects conversations The wiretapping was conducted without a search warrant
",False
"Albert Delanor Murel, et al.","Baltimore City Criminal Court, et al.","Maryland trial courts convicted Albert Murel and the other petitioners of various crimes and sentenced them to fixed terms of imprisonment The petitioners were defective delinquents so each was committed to the Patuxent Institution a mental health facility pursuant to the Maryland Defective Delinquency Law 
The petitioners sought a federal habeas corpus in district court They challenged the conditions of their confinement and the procedures that led to their commitment They also argued that Marylands statutory standard for the commitment of delinquent defendants was unconstitutionally vague The district court denied relief The United States Court of Appeals for the Fourth Circuit affirmed the lower courts opinion The petitioners appealed to the Supreme Court 
",False
Charles R. Perry et al.,Robert P. Sindermann,"Robert Sindermann had been a professor at Odessa Junior College for four years working under oneyear contracts After his election as president of the Texas Junior College Teachers Association he had several public disagreements with the Odessa Junior College Board of Regents In May 1969 after the expiration of his teaching contract Sindermann was not offered a new contract and terminated by the colleges Board of Regents While the Board of Regents did issue a press release accusing him of insubordination they did not provide official reasons for his termination or the option of a hearing for him to challenge his termination Sindermann filed suit in the United States District Court for the Western District of Texas He alleged that his termination was due to his disagreements with the Board of Regents a violation of his First Amendment right to free speech and that the lack of a hearing violated his Fourteenth Amendment right to due process The District Court ruled for the Board of Regents without a full trial He appealed to the United States Court of Appeals for the Fifth Circuit which held that his termination would have been unconstitutional if it was based on his exercise of free speech or if he had a reasonable expectation of continued employment The Fifth Circuit remanded the case to the District Court
",False
Merle R. Schneckloth,Robert Clyde Bustamonte,"A police officer stopped a car that had a burned out license plate light and headlight There were six men in the car including Robert Clyde Bustamonte  Only one passenger had a drivers license and he claimed that his brother owned the car  The officer asked this man if he could search the car  The man said Sure go ahead  Inside the car the officer found stolen checks  Those checks were admitted into evidence at Bustamontes trial for possessing checks with the intent to defraud  A jury convicted Bustamonte and the California Court of Appeal for the First Appellate District affirmed  The court reasoned that consent to search the car was given voluntarily so evidence obtained during the search was admissible  The California Supreme Court denied review  Bustamonte filed a petition for a writ of habeas corpus which the district court denied  The US Court of Appeals for the Ninth Circuit reversed holding that consent is not voluntary unless it is proven that the person who consented to the search knew he had the right to refuse consent
",True
Keyes,"School District No. 1, Denver, Colorado","Petitioners proved that for nearly ten years since 1960 the Denver Colorado school system implemented an unconstitutional policy of racial discrimination by operating a segregated school system The defense argued and the District Court held that even though one part of the Denver system was guilty of segregation it did not follow that the entire system was segregated as well
",True
Sharron Frontiero,"Elliot Richardson, Secretary of Defense","Sharron Frontiero a lieutenant in the United States Air Force sought a dependents allowance for her husband Federal law provided that the wives of members of the military automatically became dependents husbands of female members of the military however were not accepted as dependents unless they were dependent on their wives for over onehalf of their support Frontieros request for dependent status for her husband was turned down
",True
Mahan,Howell,"In 1971 the Virginia legislature reapportioned itself The plan for the House of Representatives provided for 100 representatives from 52 districts with each House member representing an average of 46485 constituentswith a variance between largest and smallest being 164 percent compared to the ideal 389 percent Henry Howell challenged the plan as unconstitutional because its population deviations were too large to satisfy the principle of one person one vote This case was decided together with City of Virginia Beach v Howell and Weinberg v Prichard
",True
United States,Charles J. Ash Jr.,"Charles J Ash Jr was indicted for robbing the American Trust amp Security Company in Washington DC Before his trial almost three years after the robbery an FBI agent and a prosecutor showed five color mug shot photographs to potential witnesses to make sure they would be able to make an in court identification of Ash Ashs counsel was not present for this process Some of these witnesses then made in court identifications of Ash Ash was convicted The US Court of Appeals for the District of Columbia Circuit reversed holding that Ashs Sixth Amendment right to counsel was violated because his attorney was not given the opportunity to be present for the photo identifications before trial The court of appeals opinion expressed doubt that the in court identifications could have happened without the prior photo identifications
",True
"William S. Neil, Warden of the Tennessee State Penitentiary ",Archie Nathaniel Biggers,"A Tennessee state court convicted Archie Biggers in the rape of Margaret Beamer  The only major evidence against him was Ms Beamers identification several weeks after the incident at a police station show up  The show up was similar to a line up but contained the suspect alone  The police officer also had the suspect say phrases Ms Beamer heard her attacker say on the night of the rape  Ms Beamer said she had no doubt that Biggers was her attacker  The Tennessee Supreme Court upheld the conviction  The US Supreme Court affirmed by an equally divided court
Biggers then filed a writ of habeas corpus which the district court granted holding that the Supreme Court affirming by an equally divided court did not bar the writ  The court also held that the show up procedure was so suggestive that it violated due process  The US Court of Appeals for the Sixth Circuit affirmed
",True
Fre Le Poole Griffiths,State Bar Examining Committee of Connecticut,"Fre Le Poole Griffiths a citizen of the Netherlands came to the United States in 1965 as a visitor In 1967 she married a US citizen and became a resident of Connecticut She then attended Yale Law School and applied to take the Connecticut Bar in 1970 Despite the County Bar Association finding her qualified in every aspect she was denied the chance to sit for the exam due to the fact that she was not a US citizen which Rule 81 of the Connecticut Practice Book of 1963 required Griffiths requested judicial relief and argued that the rule was unconstitutional because it violated the Equal Protection Clause of the Fourteenth Amendment The Superior Court of Connecticut denied her request for judicial relief and the Supreme Court of Connecticut affirmed
",True
Pittsburgh Press Company,Pittsburgh Commission on Human Relations,"To prevent gender discrimination the Pittsburgh Commission on Human Relations the Commission created an ordinance that forbids newspapers to advertise employment opportunities in genderdesignated column The National Organization for Women Inc filed a complaint with the Commission alleging that the Pittsburgh Press Co Pittsburg Press violated the ordinance by allowing employers to place advertisements in the male or female columns when the jobs advertised do not have occupational qualifications or exceptions The Commission had a hearing and concluded Pittsburg Press violated the ordinance The Pittsburg Press appealed and contended the ordinance violates the First Amendment by restricting its editorial judgment The Commonwealth Court affirmed 
",False
Gottschalk,Benson,"Engineers Gary Benson and Arthur Tabbot invented a faster and more efficient mathematical procedure for transforming the normal decimal type of numbers base 10 into true binary numbers base 2 which are simpler to process within computers Their mathematical procedure was somewhat akin to long division albeit with different steps Their attorney argued before the patent examiner that the inventors were entitled to a broad patent covering any use of their new mathematical procedure even use of it by a human using pencil and paper The examiner rejected their invention An appellate court overruled the examiner and ordered a patent to issue The Commissioner of Patents then petitioned successfully to have the Supreme Court review this decision Before the Supreme Court the inventors attorney backed down from his earlier position and argued that the inventors were entitled to a patent covering all uses of their new mathematical procedure in computers but not necessarily to its use by humans using pencil and paper The members of the Supreme Court at that time knew very little about computers
",True
United States,Russell,"At the conclusion of an undercover drug investigation Richard Russell was arrested by Washington police and eventually convicted in a district court for drug manufacturing crimes Russell challenged his conviction as the result of unconstitutional entrapment practices since an undercover agent supplied him with an essential ingredient of his drug manufacturing operation On appeal from an adverse Court of Appeals decision the Supreme Court granted the government certiorari
",True
John R Gagnon,Gerald Scarpello,"After pleading guilty to armed robbery in Wisconsin Gerald Scarpelli was sentenced to 15 years imprisonment which was later reduced to probation Scarpelli signed an agreement allowing him to reside in Illinois and was supervised by the Adult Probation Department of Illinois Shortly after Scarpelli was caught committing burglary with an accomplice After being informed of his Constitutional rights Scarpelli admitted to committing the felony an admission he later claimed was made under extreme duress The Wisconsin Department of Corrections revoked Scarpellis probation because of the violation and imprisoned him He was not given a hearing Two years later Scarpelli filed a writ of habeas corpus and the district court held that revoking Scarpellis probation without a hearing and an attorney was a denial of his Constitutional right of due process Gagnon the warden of the Wisconsin Department of Corrections appealed and the Wisconsin Court of Appeals affirmed the trial courts judgment Gagnon appealed to the United States Court of Appeals for the Seventh Circuit
",True
"California, et al.","Robert LaRue, et al.","After receiving reports of the type of sexual activity occurring on the premises of licensed liquor sellers the California Department of Alcoholic Beverage Control promulgated a series of regulations pertaining to the conduct on such licensed premises The appellees a group of holders of various liquor licenses sought discretionary review of the new regulations The district court held that the regulations unconstitutionally limited freedom of expression
",True
